Direction,Zone ID,# Douglass fir,# Ponderosa pine,# Rocky Mountain Juniper,# Rocky Mountain Maple,# Wax Currant,Total # Trees,Aspect (°),Slope (°),Elevation (m),Longitude (°),Latitude (°),Notes
N,N1,77,17,0,2,0,96,13.05552,30.31722,2309.462,-105.396866,40.156028,
N,N2,31,45,5,0,0,81,337.4861,19.07,2378.502,-105.396582,40.15449,
N,N3,151,2,5,0,2,160,32.82841,15.63038,2432.118,-105.388367,40.156045,
N,N4,13,5,1,0,0,19,6.770535,10.91026,2455.316,-105.396567,40.148238,
N,N5,36,6,6,0,0,48,28.6861,13.53222,2428.29,-105.394876,40.148835,
N,N6,53,23,0,0,0,76,22.10759,23.82793,2337.137,-105.382387,40.148767,
N,N7,37,28,1,0,0,66,15.11797,16.43838,2385.359,-105.381634,40.147027,Logging area
N,N8,26,0,1,0,0,27,26.17633,13.96439,2400.922,-105.391971,40.144138,
N,N9,88,1,1,0,0,90,338.5479,13.28605,2381.064,-105.386251,40.144879,Logging area
N,N10,142,16,0,0,0,158,326.964,16.81757,2461.562,-105.383982,40.143269,
S,S1,0,6,0,0,0,6,193.7901,8.234249,2402.757,-105.391141,40.154727,
S,S2,1,13,0,0,0,14,161.519,6.624667,2391.504,-105.39221,40.153723,
S,S3,0,1,0,0,0,1,182.5503,10.48078,2395.086,-105.3883,40.153784,
S,S4,0,9,0,0,0,9,155.166,7.644147,2322.726,-105.382182,40.15489,Burn Zone
S,S5,0,1,0,0,0,1,184.8696,5.495195,2369.505,-105.389872,40.152476,
S,S6,1,37,0,0,0,38,218.0719,12.67647,2364.64,-105.38895,40.151869,
S,S7,0,16,0,0,0,16,175.8437,13.55415,2338.418,-105.386038,40.150339,Rafa's driveway
S,S8,0,2,0,0,1,3,143.6275,7.873565,2349.298,-105.387182,40.148048,
S,S9,0,1,0,0,0,1,156.5405,11.00746,2398.278,-105.394257,40.14555,
S,S10,0,19,0,0,0,19,144.9787,11.44263,2392.142,-105.393109,40.145765,
,,,,,,,,,,,,,
,Total N,654,143,20,2,2,821,,,,,,
,Total S,2,105,0,0,1,108,,,,,,
,Total,656,248,20,2,3,929,,,,,,
,,,,,,,,,,,,,
,Avg N,65.4,14.3,2,0.2,0.2,82.1,,17.37944,2396.9732,,,
,Avg S,0.2,10.5,0,0,0.1,10.8,,9.5033313,2372.4354,,,
,Avg,32.8,12.4,1,0.1,0.15,46.45,,13.44138565,2384.7043,,,
